dataset_id,imagem_id,face_id,num_faces,bbox_x,bbox_y,bbox_w,bbox_h,raca,confianca_raca,genero,confianca_genero
original-64,2f5b5c90827a0fde,2f5b5c90827a0fde_f001,10,897,261,57,72,white,35.791934967041016,Man,77.35052490234375
original-64,2f5b5c90827a0fde,2f5b5c90827a0fde_f002,10,635,275,65,79,white,86.27979278564453,Man,98.13449096679688
original-64,2f5b5c90827a0fde,2f5b5c90827a0fde_f003,10,411,284,73,93,middle eastern,45.87033462524414,Woman,78.57192993164062
original-64,2f5b5c90827a0fde,2f5b5c90827a0fde_f004,10,1295,289,66,88,white,82.62635040283203,Man,94.41829681396484
original-64,2f5b5c90827a0fde,2f5b5c90827a0fde_f005,10,1073,290,81,103,white,28.927978515625,Woman,94.32881927490234
original-64,2f5b5c90827a0fde,2f5b5c90827a0fde_f006,10,102,299,84,108,white,32.40751266479492,Woman,99.8590087890625
original-64,2f5b5c90827a0fde,2f5b5c90827a0fde_f007,10,721,322,120,168,latino hispanic,44.51028823852539,Man,99.91838073730469
original-64,2f5b5c90827a0fde,2f5b5c90827a0fde_f008,10,1404,341,90,117,asian,86.7073745727539,Woman,99.55464935302734
original-64,2f5b5c90827a0fde,2f5b5c90827a0fde_f009,10,249,350,131,176,latino hispanic,41.194705963134766,Woman,98.93572998046875
original-64,2f5b5c90827a0fde,2f5b5c90827a0fde_f010,10,1226,359,108,141,latino hispanic,30.638500213623047,Man,99.97517395019531
original-64,db4dc201d6d69861,db4dc201d6d69861_f001,4,874,333,150,186,latino hispanic,30.868595123291016,Woman,93.25656127929688
original-64,db4dc201d6d69861,db4dc201d6d69861_f002,4,539,339,139,172,asian,30.899568557739258,Man,97.81723022460938
original-64,db4dc201d6d69861,db4dc201d6d69861_f003,4,1245,348,145,186,latino hispanic,26.397079467773438,Man,92.49361419677734
original-64,db4dc201d6d69861,db4dc201d6d69861_f004,4,174,351,145,193,black,99.22904968261719,Woman,99.74571228027344
original-64,feac2d8422f45b05,feac2d8422f45b05_f001,5,458,169,91,117,black,100.0,Man,98.45123291015625
original-64,feac2d8422f45b05,feac2d8422f45b05_f002,5,675,238,65,85,asian,31.559410095214844,Woman,84.38533020019531
original-64,feac2d8422f45b05,feac2d8422f45b05_f003,5,942,238,56,74,latino hispanic,27.124250411987305,Man,96.63793182373047
original-64,feac2d8422f45b05,feac2d8422f45b05_f004,5,162,269,66,87,black,97.90984344482422,Woman,81.92111206054688
original-64,feac2d8422f45b05,feac2d8422f45b05_f005,5,1285,272,67,88,white,43.03670120239258,Man,98.75740051269531
original-64,790165ffc6b78197,790165ffc6b78197_f001,4,834,248,78,109,white,46.27902603149414,Man,99.99803161621094
original-64,790165ffc6b78197,790165ffc6b78197_f002,4,172,251,78,113,black,98.07842254638672,Man,82.3885498046875
original-64,790165ffc6b78197,790165ffc6b78197_f003,4,366,305,79,108,white,77.20116424560547,Woman,99.99842834472656
original-64,790165ffc6b78197,790165ffc6b78197_f004,4,573,308,89,118,asian,29.601818084716797,Woman,68.58073425292969
original-64,febdc259e57b8ed6,febdc259e57b8ed6_f001,6,602,110,129,183,black,100.0,Man,99.10680389404297
original-64,febdc259e57b8ed6,febdc259e57b8ed6_f002,6,853,278,117,149,middle eastern,34.04356384277344,Man,89.26227569580078
original-64,febdc259e57b8ed6,febdc259e57b8ed6_f003,6,1282,302,134,196,asian,72.39856719970703,Man,97.22046661376953
original-64,febdc259e57b8ed6,febdc259e57b8ed6_f004,6,1086,308,127,165,latino hispanic,51.99253463745117,Woman,99.97952270507812
original-64,febdc259e57b8ed6,febdc259e57b8ed6_f005,6,146,311,142,202,middle eastern,43.60871505737305,Man,99.87976837158203
original-64,febdc259e57b8ed6,febdc259e57b8ed6_f006,6,421,345,125,172,asian,44.63723373413086,Woman,99.96766662597656
original-64,cc8063e341c122e7,cc8063e341c122e7_f001,9,240,152,88,129,black,99.99968719482422,Man,95.18881225585938
original-64,cc8063e341c122e7,cc8063e341c122e7_f002,9,407,211,78,112,white,37.02110290527344,Man,99.65091705322266
original-64,cc8063e341c122e7,cc8063e341c122e7_f003,9,817,235,78,110,white,65.84523010253906,Man,99.87994384765625
original-64,cc8063e341c122e7,cc8063e341c122e7_f004,9,1318,257,101,128,white,58.279544830322266,Man,99.50988006591797
original-64,cc8063e341c122e7,cc8063e341c122e7_f005,9,584,261,83,123,asian,80.26123809814453,Woman,75.11689758300781
original-64,cc8063e341c122e7,cc8063e341c122e7_f006,9,1118,299,87,115,asian,43.229591369628906,Woman,95.96110534667969
original-64,cc8063e341c122e7,cc8063e341c122e7_f007,9,959,302,81,107,asian,58.58376693725586,Woman,66.16946411132812
original-64,cc8063e341c122e7,cc8063e341c122e7_f008,9,103,318,90,123,white,57.35552215576172,Woman,99.98359680175781
original-64,cc8063e341c122e7,cc8063e341c122e7_f009,9,730,332,96,127,asian,47.9686164855957,Woman,99.99945068359375
original-64,f09fbd232863de99,f09fbd232863de99_f001,6,612,262,88,131,white,60.5318717956543,Man,99.9207763671875
original-64,f09fbd232863de99,f09fbd232863de99_f002,6,373,286,84,121,asian,41.928688049316406,Woman,99.46031188964844
original-64,f09fbd232863de99,f09fbd232863de99_f003,6,31,295,88,134,black,99.99947357177734,Man,97.0094985961914
original-64,f09fbd232863de99,f09fbd232863de99_f004,6,185,317,79,112,asian,41.895137786865234,Woman,99.51377868652344
original-64,f09fbd232863de99,f09fbd232863de99_f005,6,891,336,79,116,latino hispanic,30.38563346862793,Woman,99.73511505126953
original-64,f09fbd232863de99,f09fbd232863de99_f006,6,747,524,93,133,white,71.7369384765625,Man,98.51171112060547
original-64,c791f03909105484,c791f03909105484_f001,8,707,160,81,111,black,99.95823669433594,Man,98.5331039428711
original-64,c791f03909105484,c791f03909105484_f002,8,482,180,84,114,asian,52.764190673828125,Woman,97.06141662597656
original-64,c791f03909105484,c791f03909105484_f003,8,241,193,95,129,white,30.59517478942871,Man,98.84090423583984
original-64,c791f03909105484,c791f03909105484_f004,8,937,198,97,156,white,72.57515716552734,Man,98.21939086914062
original-64,c791f03909105484,c791f03909105484_f005,8,820,258,84,110,asian,50.34700012207031,Man,88.07795715332031
original-64,c791f03909105484,c791f03909105484_f006,8,128,259,86,125,middle eastern,36.80367660522461,Woman,99.97250366210938
original-64,c791f03909105484,c791f03909105484_f007,8,1270,260,85,114,asian,42.08869934082031,Man,52.5426025390625
original-64,c791f03909105484,c791f03909105484_f008,8,454,436,98,138,white,93.69483947753906,Woman,99.77812194824219
original-64,c1138559992f7ff3,c1138559992f7ff3_f001,14,644,414,36,47,asian,58.2669792175293,Man,99.04853820800781
original-64,c1138559992f7ff3,c1138559992f7ff3_f002,14,485,428,35,48,asian,48.72319412231445,Man,96.4295654296875
original-64,c1138559992f7ff3,c1138559992f7ff3_f003,14,1791,439,35,45,asian,35.83884811401367,Woman,93.31523895263672
original-64,c1138559992f7ff3,c1138559992f7ff3_f004,14,1270,459,34,43,asian,68.67668151855469,Man,99.73554992675781
original-64,c1138559992f7ff3,c1138559992f7ff3_f005,14,855,481,35,50,white,53.44258499145508,Woman,60.85829162597656
original-64,c1138559992f7ff3,c1138559992f7ff3_f006,14,703,499,35,50,white,36.832862854003906,Man,98.52667999267578
original-64,c1138559992f7ff3,c1138559992f7ff3_f007,14,1497,510,32,45,indian,44.09075164794922,Man,90.08016967773438
original-64,c1138559992f7ff3,c1138559992f7ff3_f008,14,242,535,46,63,latino hispanic,38.684993743896484,Man,99.48846435546875
original-64,c1138559992f7ff3,c1138559992f7ff3_f009,14,1098,563,35,54,white,82.92494201660156,Woman,97.79710388183594
original-64,c1138559992f7ff3,c1138559992f7ff3_f010,14,948,578,37,58,latino hispanic,34.06561279296875,Man,93.94268798828125
