group,metric,n,mean,standard_deviation,median,q1,q3,minimum,maximum
overall,clip_racial_diversity_margin,64,0.001102300127968192,0.004716997721010889,0.000983908772468567,-0.0023174285888671875,0.004143968224525452,-0.006901592016220093,0.013734176754951477
overall,clip_gender_diversity_margin,64,0.0023875103797763586,0.005688524577490591,0.002939172089099884,-0.0018827170133590698,0.00600723922252655,-0.009058728814125061,0.02054542303085327
modelo_ia=DALL-E,clip_racial_diversity_margin,16,0.0031461408361792564,0.003501233511888869,0.002800978720188141,0.0007416792213916779,0.00439278781414032,-0.003075018525123596,0.009374275803565979
modelo_ia=DALL-E,clip_gender_diversity_margin,16,0.002093939110636711,0.004392709832884435,0.0031984224915504456,-0.0003073178231716156,0.004872828722000122,-0.0064525604248046875,0.008148938417434692
modelo_ia=Gemini (NanoBanana),clip_racial_diversity_margin,16,0.0019688820466399193,0.0057019412067305375,0.0013786479830741882,-0.0012425445020198822,0.004472661763429642,-0.006656244397163391,0.013734176754951477
modelo_ia=Gemini (NanoBanana),clip_gender_diversity_margin,16,0.002246464602649212,0.0051621579354610946,0.002858370542526245,-0.002571515738964081,0.006035372614860535,-0.005722150206565857,0.010751262307167053
modelo_ia=Midjourney,clip_racial_diversity_margin,16,-9.80570912361145e-05,0.004483719355493325,-0.00037063658237457275,-0.0038539208471775055,0.0018349923193454742,-0.006543397903442383,0.009876102209091187
modelo_ia=Midjourney,clip_gender_diversity_margin,16,0.003907522186636925,0.006688144195650503,0.002939172089099884,-0.00021116435527801514,0.005781736224889755,-0.008078649640083313,0.02054542303085327
modelo_ia=Whisk,clip_racial_diversity_margin,16,-0.0006077652797102928,0.004320044257022658,-0.001329265534877777,-0.0038995258510112762,0.0028085000813007355,-0.006901592016220093,0.00656069815158844
modelo_ia=Whisk,clip_gender_diversity_margin,16,0.0013021156191825867,0.006434269768011941,0.0018191784620285034,-0.003694739192724228,0.006871998310089111,-0.009058728814125061,0.011669069528579712
tipo_prompt=Inclusive Prompts,clip_racial_diversity_margin,32,0.0008942796848714352,0.00402910396186402,0.0011819154024124146,-0.0020607300102710724,0.003675021231174469,-0.006656244397163391,0.009876102209091187
tipo_prompt=Inclusive Prompts,clip_gender_diversity_margin,32,0.002005863469094038,0.00617762184511233,0.002346999943256378,-0.0009367316961288452,0.004400700330734253,-0.009058728814125061,0.02054542303085327
tipo_prompt=Neutral Prompts,clip_racial_diversity_margin,32,0.001310320571064949,0.005375394273301949,0.0007693171501159668,-0.0024616196751594543,0.004244968295097351,-0.006901592016220093,0.013734176754951477
tipo_prompt=Neutral Prompts,clip_gender_diversity_margin,32,0.002769157290458679,0.0052248210554565345,0.0036002695560455322,-0.0018827170133590698,0.006925664842128754,-0.0064525604248046875,0.012887969613075256
